         170055 function calls (163997 primitive calls) in 0.738 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        1    0.000    0.000    0.013    0.013 mbcsgroupprober.py:30(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
        3    0.000    0.000    0.056    0.019 __init__.py:2(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        4    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      6/4    0.000    0.000    0.000    0.000 typing.py:340(__getitem__)
       11    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.006    0.006 threading.py:1(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
       16    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
    28/11    0.000    0.000    0.001    0.000 abc.py:141(__subclasscheck__)
        2    0.000    0.000    0.341    0.170 adapters.py:394(send)
        2    0.000    0.000    0.000    0.000 socket.py:221(makefile)
       13    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       46    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.027    0.027 objects.py:7(<module>)
       18    0.000    0.000    0.000    0.000 six.py:959(ensure_text)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
        1    0.000    0.000    0.039    0.039 compat.py:9(<module>)
        1    0.000    0.000    0.348    0.348 davclient.py:205(request)
       26    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.006    0.006 parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pref_service.py:15(load_file)
        4    0.000    0.000    0.000    0.000 idna.py:147(encode)
        2    0.000    0.000    0.000    0.000 poolmanager.py:68(_default_key_normalizer)
       17    0.000    0.000    0.000    0.000 client.py:1256(<genexpr>)
       44    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
       60    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:5(<module>)
        4    0.000    0.000    0.000    0.000 utils.py:772(select_proxy)
        8    0.000    0.000    0.000    0.000 timeout.py:95(__init__)
        2    0.000    0.000    0.005    0.002 request.py:1(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:335(__getattr__)
       14    0.000    0.000    0.200    0.014 {method 'readline' of '_io.BufferedReader' objects}
       11    0.000    0.000    0.000    0.000 structures.py:59(__iter__)
        1    0.000    0.000    0.004    0.004 chardistribution.py:28(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        4    0.000    0.000    0.000    0.000 ssl.py:1023(sendall)
        1    0.000    0.000    0.038    0.038 parser.py:8(<module>)
       17    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
       37    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       33    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       23    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       47    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 error.py:4(<module>)
        2    0.000    0.000    0.000    0.000 sessions.py:362(__init__)
        2    0.000    0.000    0.001    0.000 models.py:356(prepare_url)
        2    0.000    0.000    0.000    0.000 cookies.py:135(get_cookie_header)
       22    0.000    0.000    0.000    0.000 queue.py:17(_put)
        5    0.000    0.000    0.000    0.000 retry.py:161(__init__)
        1    0.000    0.000    0.000    0.000 lazy.py:172(<listcomp>)
        1    0.000    0.000    0.009    0.009 lazy.py:1(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:64(__init__)
       42    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 vcard.py:1(<module>)
        9    0.000    0.000    0.000    0.000 typing.py:533(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:819(__class_getitem__)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
        2    0.000    0.000    0.003    0.001 sessions.py:423(prepare_request)
       11    0.000    0.000    0.000    0.000 cookiejar.py:1216(vals_sorted_by_key)
        2    0.000    0.000    0.001    0.001 utils.py:699(should_bypass_proxies)
       22    0.000    0.000    0.000    0.000 queue.py:20(_get)
       13    0.000    0.000    0.000    0.000 _collections.py:155(__getitem__)
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
        1    0.000    0.000    0.008    0.008 tempfile.py:24(<module>)
       10    0.000    0.000    0.001    0.000 enum.py:793(_missing_)
        7    0.000    0.000    0.000    0.000 cookiejar.py:1255(__init__)
        1    0.000    0.000    0.001    0.001 copy.py:49(<module>)
        4    0.000    0.000    0.001    0.000 _collections.py:91(clear)
       12    0.000    0.000    0.000    0.000 __init__.py:1925(getLogger)
       28    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       17    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        2    0.000    0.000    0.346    0.173 sessions.py:463(request)
        2    0.000    0.000    0.001    0.001 queue.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _collections.py:214(add)
       17    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
      9/7    0.000    0.000    0.022    0.003 <frozen importlib._bootstrap_external>:1048(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
        4    0.000    0.000    0.000    0.000 typing.py:241(_tp_cache)
        1    0.000    0.000    0.026    0.026 universaldetector.py:36(<module>)
       42    0.000    0.000    0.000    0.000 parse.py:98(_noop)
        2    0.000    0.000    0.200    0.100 client.py:266(_read_status)
        5    0.000    0.000    0.000    0.000 __init__.py:802(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       32    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.007    0.007 main.py:2(<module>)
        4    0.000    0.000    0.000    0.000 adapters.py:113(__init__)
        8    0.000    0.000    0.001    0.000 structures.py:42(__init__)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
        5    0.000    0.000    0.000    0.000 cookies.py:508(cookiejar_from_dict)
        4    0.000    0.000    0.000    0.000 url.py:244(_remove_path_dot_segments)
       24    0.000    0.000    0.000    0.000 url.py:411(ensure_type)
        2    0.000    0.000    0.048    0.024 connection.py:143(_new_conn)
        2    0.000    0.000    0.086    0.043 ssl_.py:296(ssl_wrap_socket)
       13    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
        2    0.000    0.000    0.000    0.000 client.py:1071(putrequest)
        8    0.000    0.000    0.000    0.000 six.py:939(ensure_str)
        1    0.000    0.000    0.000    0.000 ssl.py:801(SSLSocket)
        1    0.000    0.000    0.676    0.676 cal_service.py:1(<module>)
        1    0.000    0.000    0.310    0.310 davclient.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1304(_clear_cache)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
       19    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 cdav.py:3(<module>)
       12    0.000    0.000    0.000    0.000 utils.py:932(check_header_validity)
        1    0.000    0.000    0.007    0.007 sjisprober.py:28(<module>)
        1    0.000    0.000    0.005    0.005 header.py:5(<module>)
        5    0.000    0.000    0.002    0.000 six.py:90(__get__)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 lazy.py:118(<listcomp>)
        4    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       32    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mbcssm.py:28(<module>)
        2    0.000    0.000    0.200    0.100 client.py:299(begin)
        4    0.000    0.000    0.000    0.000 ssl.py:549(verify_mode)
        2    0.000    0.000    0.074    0.037 ssl.py:1132(do_handshake)
        4    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
      3/1    0.000    0.000    0.000    0.000 base.py:46(xmlchildren)
       12    0.000    0.000    0.000    0.000 opcode.py:43(name_op)
        1    0.000    0.000    0.000    0.000 auth.py:8(<module>)
        6    0.000    0.000    0.000    0.000 utils.py:108(super_len)
        6    0.000    0.000    0.000    0.000 url.py:297(<listcomp>)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
        1    0.000    0.000    0.014    0.014 feedparser.py:20(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        5    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       31    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        4    0.000    0.000    0.000    0.000 uuid.py:121(__init__)
        1    0.000    0.000    0.000    0.000 structures.py:85(__repr__)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(<module>)
        4    0.000    0.000    0.000    0.000 url.py:91(__new__)
        7    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
       47    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 typing.py:1485(IO)
        2    0.000    0.000    0.003    0.001 sessions.py:687(merge_environment_settings)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1350(add_cookie_header)
        1    0.000    0.000    0.004    0.004 utils.py:5(<module>)
       19    0.000    0.000    0.000    0.000 client.py:996(_output)
        2    0.000    0.000    0.136    0.068 connectionpool.py:986(_validate_conn)
       22    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 {method 'getpeername' of '_socket.socket' objects}
        1    0.000    0.000    0.002    0.002 dav.py:4(<module>)
        4    0.000    0.000    0.000    0.000 poolmanager.py:159(__init__)
        1    0.000    0.000    0.003    0.003 filepost.py:1(<module>)
        2    0.000    0.000    0.000    0.000 client.py:1017(_send_output)
       14    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       10    0.000    0.000    0.027    0.003 six.py:80(_import_module)
        2    0.000    0.000    0.000    0.000 ssl.py:240(_inet_paton)
        5    0.000    0.000    0.000    0.000 __init__.py:783(_addHandlerRef)
       17    0.000    0.000    0.000    0.000 six.py:184(find_module)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
       27    0.000    0.000    0.000    0.000 enum.py:901(<lambda>)
       12    0.000    0.000    0.000    0.000 functools.py:67(wraps)
        6    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       21    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       29    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       25    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        1    0.000    0.000    0.001    0.001 uuid.py:45(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:655(__eq__)
        2    0.000    0.000    0.001    0.001 models.py:308(prepare)
        2    0.000    0.000    0.000    0.000 models.py:535(prepare_auth)
       24    0.000    0.000    0.000    0.000 timeout.py:109(_validate_timeout)
        2    0.000    0.000    0.000    0.000 queue.py:33(__init__)
       14    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
       14    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       16    0.000    0.000    0.000    0.000 threading.py:75(RLock)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        8    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       10    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 typing.py:1337(_make_nmtuple)
       15    0.000    0.000    0.000    0.000 icalendar.py:1601(<lambda>)
       11    0.000    0.000    0.000    0.000 cookiejar.py:1220(deepvalues)
        1    0.000    0.000    0.006    0.006 __init__.py:97(<module>)
        1    0.000    0.000    0.001    0.001 escprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        2    0.000    0.000    0.000    0.000 ssl_.py:386(is_ipaddress)
        1    0.000    0.000    0.003    0.003 message.py:5(<module>)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        4    0.000    0.000    0.000    0.000 parse.py:449(urlunparse)
        2    0.000    0.000    0.200    0.100 client.py:1300(getresponse)
        2    0.000    0.000    0.000    0.000 connectionpool.py:950(_new_conn)
        2    0.000    0.000    0.000    0.000 socket.py:652(close)
        1    0.000    0.000    0.000    0.000 tzinfo.py:1(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 cookies.py:529(merge_cookies)
        1    0.000    0.000    0.000    0.000 cookies.py:10(<module>)
       15    0.000    0.000    0.000    0.000 _internal_utils.py:14(to_native_string)
        1    0.000    0.000    0.000    0.000 latin1prober.py:29(<module>)
        1    0.000    0.000    0.001    0.001 mimetypes.py:24(<module>)
        2    0.000    0.000    0.199    0.100 socket.py:575(readinto)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 prop.py:893(__init__)
        6    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
       26    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
       12    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
       10    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
        2    0.000    0.000    0.348    0.174 api.py:16(request)
        4    0.000    0.000    0.000    0.000 sessions.py:741(<listcomp>)
        4    0.000    0.000    0.001    0.000 adapters.py:319(close)
        1    0.000    0.000    0.001    0.001 idna.py:3(<module>)
        1    0.000    0.000    0.004    0.004 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 response.py:193(__init__)
        1    0.000    0.000    0.000    0.000 response.py:155(HTTPResponse)
        1    0.000    0.000    0.002    0.002 fields.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:108(_has_ipv6)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
       13    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        2    0.000    0.000    0.000    0.000 client.py:236(__init__)
       15    0.000    0.000    0.000    0.000 ssl.py:795(_sslcopydoc)
       16    0.000    0.000    0.000    0.000 __init__.py:716(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
        9    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       16    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.001    0.000 adapters.py:203(cert_verify)
        4    0.000    0.000    0.000    0.000 models.py:82(_encode_params)
        4    0.000    0.000    0.000    0.000 models.py:175(register_hook)
        2    0.000    0.000    0.000    0.000 models.py:453(prepare_body)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:28(<module>)
        2    0.000    0.000    0.001    0.000 poolmanager.py:236(connection_from_context)
        1    0.000    0.000    0.000    0.000 _collections.py:230(extend)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        4    0.000    0.000    0.000    0.000 parse.py:460(urlunsplit)
        2    0.000    0.000    0.000    0.000 client.py:837(__init__)
       15    0.000    0.000    0.000    0.000 six.py:180(find_module)
        4    0.000    0.000    0.000    0.000 six.py:191(load_module)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        1    0.000    0.000    0.000    0.000 traceback.py:227(FrameSummary)
        3    0.000    0.000    0.000    0.000 six.py:91(__get__)
       23    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
       20    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       22    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       18    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        5    0.000    0.000    0.000    0.000 typing.py:300(__new__)
        7    0.000    0.000    0.000    0.000 opcode.py:47(jrel_op)
        1    0.000    0.000    0.000    0.000 auth.py:28(_basic_auth_str)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1593(make_cookies)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.001    0.001 utf8prober.py:28(<module>)
        1    0.000    0.000    0.011    0.011 _policybase.py:4(<module>)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:158(TLSVersion)
        3    0.000    0.000    0.000    0.000 socket.py:412(_real_close)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        6    0.000    0.000    0.000    0.000 six.py:126(__init__)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        1    0.000    0.000    0.059    0.059 event.py:1(<module>)
        5    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
       17    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        8    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       26    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        6    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 sessions.py:74(<listcomp>)
        4    0.000    0.000    0.000    0.000 adapters.py:146(init_poolmanager)
        1    0.000    0.000    0.000    0.000 adapters.py:255(build_response)
        2    0.000    0.000    0.001    0.001 adapters.py:292(get_connection)
        1    0.000    0.000    0.001    0.001 socks.py:36(<module>)
        1    0.000    0.000    0.000    0.000 models.py:597(__init__)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1240(CookieJar)
        2    0.000    0.000    0.000    0.000 utils.py:807(default_headers)
        1    0.000    0.000    0.000    0.000 gb2312prober.py:28(<module>)
        2    0.000    0.000    0.001    0.000 poolmanager.py:177(_new_pool)
        1    0.000    0.000    0.028    0.028 __init__.py:19(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.015    0.015 parser.py:5(<module>)
        2    0.000    0.000    0.000    0.000 ssl.py:950(getpeercert)
        4    0.000    0.000    0.000    0.000 connectionpool.py:314(_get_timeout)
        1    0.000    0.000    0.000    0.000 davclient.py:62(__init__)
        8    0.000    0.000    0.000    0.000 rrule.py:76(<genexpr>)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:5(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:360(__members__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        4    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       13    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        3    0.000    0.000    0.000    0.000 url.py:89(__getattr__)
        1    0.000    0.000    0.001    0.001 status_codes.py:21(<module>)
        7    0.000    0.000    0.000    0.000 cookiejar.py:876(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1674(extract_cookies)
        4    0.000    0.000    0.000    0.000 cookies.py:37(__init__)
        2    0.000    0.000    0.000    0.000 cookies.py:118(extract_cookies_to_jar)
        4    0.000    0.000    0.000    0.000 cookies.py:348(update)
        1    0.000    0.000    0.002    0.002 scanner.py:2(<module>)
        2    0.000    0.000    0.001    0.000 poolmanager.py:249(connection_from_pool_key)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _collections.py:46(__init__)
        4    0.000    0.000    0.000    0.000 connection.py:114(host)
        1    0.000    0.000    0.000    0.000 wait.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ssl_.py:181(resolve_cert_reqs)
       11    0.000    0.000    0.000    0.000 message.py:479(set_raw)
        2    0.000    0.000    0.000    0.000 parse.py:386(_splitnetloc)
        3    0.000    0.000    0.000    0.000 client.py:413(close)
        4    0.000    0.000    0.000    0.000 client.py:958(send)
        4    0.000    0.000    0.000    0.000 ssl.py:367(__new__)
        3    0.000    0.000    0.000    0.000 __init__.py:831(createLock)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
        5    0.000    0.000    0.000    0.000 {function SocketIO.close at 0x7f8f26e3cb00}
       15    0.000    0.000    0.000    0.000 compat.py:38(to_text)
       12    0.000    0.000    0.000    0.000 typing.py:351(<genexpr>)
        1    0.000    0.000    0.000    0.000 objects.py:341(Principal)
        1    0.000    0.000    0.013    0.013 __init__.py:77(<module>)
        6    0.000    0.000    0.000    0.000 opcode.py:51(jabs_op)
        2    0.000    0.000    0.001    0.001 sessions.py:730(close)
        2    0.000    0.000    0.000    0.000 adapters.py:329(request_url)
        4    0.000    0.000    0.000    0.000 models.py:522(prepare_content_length)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1728(clear_expired_cookies)
        1    0.000    0.000    0.000    0.000 big5prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 euckrprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 response.py:569(from_httplib)
        1    0.000    0.000    0.000    0.000 fields.py:125(RequestField)
        2    0.000    0.000    0.000    0.000 connection.py:101(__init__)
        2    0.000    0.000    0.000    0.000 parse.py:762(quote)
        1    0.000    0.000    0.000    0.000 parser.py:41(parse)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        4    0.000    0.000    0.000    0.000 six.py:614(itervalues)
        1    0.000    0.000    0.000    0.000 ssl.py:642(SSLObject)
        2    0.000    0.000    0.199    0.100 ssl.py:920(read)
        4    0.000    0.000    0.000    0.000 ssl.py:996(send)
        2    0.000    0.000    0.000    0.000 socket.py:563(__init__)
        1    0.000    0.000    0.002    0.002 string.py:65(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1526(addHandler)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        2    0.000    0.000    0.000    0.000 datetime.py:1187(__new__)
       12    0.000    0.000    0.000    0.000 sre_parse.py:162(__delitem__)
        4    0.000    0.000    0.000    0.000 weakref.py:290(update)
        8    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       12    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 uuid.py:69(UUID)
        6    0.000    0.000    0.000    0.000 hooks.py:17(default_hooks)
        2    0.000    0.000    0.000    0.000 models.py:226(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:866(DefaultCookiePolicy)
       11    0.000    0.000    0.000    0.000 cookiejar.py:1747(__iter__)
        1    0.000    0.000    0.000    0.000 cp949prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 euctwprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 utf8prober.py:35(UTF8Prober)
        1    0.000    0.000    0.000    0.000 response.py:304(_init_length)
        2    0.000    0.000    0.001    0.000 poolmanager.py:213(connection_from_host)
        1    0.000    0.000    0.001    0.001 universaldetector.py:51(UniversalDetector)
        1    0.000    0.000    0.000    0.000 escsm.py:28(<module>)
        2    0.000    0.000    0.000    0.000 _collections.py:60(__setitem__)
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
        2    0.000    0.000    0.000    0.000 parse.py:833(quote_from_bytes)
        1    0.000    0.000    0.000    0.000 message.py:213(get_payload)
        1    0.000    0.000    0.000    0.000 message.py:459(<listcomp>)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        1    0.000    0.000    0.000    0.000 client.py:478(readinto)
        1    0.000    0.000    0.000    0.000 client.py:227(HTTPResponse)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        6    0.000    0.000    0.000    0.000 six.py:123(__init__)
        4    0.000    0.000    0.025    0.006 six.py:205(is_package)
        2    0.000    0.000    0.199    0.100 ssl.py:1060(recv_into)
        1    0.000    0.000    0.349    0.349 cal_service.py:32(__init__)
        1    0.000    0.000    0.005    0.005 traceback.py:1(<module>)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
        1    0.000    0.000    0.001    0.001 prop.py:885(TypesFactory)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
    14/12    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       11    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 base.py:4(<module>)
        1    0.000    0.000    0.349    0.349 objects.py:113(_query_properties)
        1    0.000    0.000    0.349    0.349 objects.py:352(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:2435(Parameter)
        2    0.000    0.000    0.000    0.000 sessions.py:716(get_adapter)
        4    0.000    0.000    0.000    0.000 sessions.py:735(mount)
        1    0.000    0.000    0.000    0.000 request.py:323(Request)
        2    0.000    0.000    0.000    0.000 utils.py:594(requote_uri)
        1    0.000    0.000    0.000    0.000 mimetypes.py:384(_default_mime_types)
        1    0.000    0.000    0.000    0.000 response.py:469(read)
        2    0.000    0.000    0.001    0.001 poolmanager.py:273(connection_from_url)
        1    0.000    0.000    0.001    0.001 charsetgroupprober.py:28(<module>)
        4    0.000    0.000    0.000    0.000 timeout.py:171(clone)
        2    0.000    0.000    0.000    0.000 connection.py:228(__init__)
        2    0.000    0.000    0.000    0.000 connection.py:89(_set_socket_options)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        2    0.000    0.000    0.000    0.000 client.py:425(flush)
        1    0.000    0.000    0.001    0.001 parser.py:59(parsestr)
